image_id,split
000001,val
000002,train
000003,train
000004,val
000005,val
000006,train
000007,train
000008,val
000009,train
000010,val
000011,val
000012,val
000013,train
000014,train
000015,train
000016,train
000017,train
000018,val
000019,train
000020,train
000021,train
000022,val
000023,train
000024,val
000025,train
000026,train
000027,train
000028,train
000029,train
000030,train
000031,train
000032,train
000033,train
000034,train
000035,val
000036,train
000037,val
000038,train
000039,train
000040,train
000041,val
000042,val
000043,train
000044,train
000045,train
000046,train
000047,val
000048,train
000049,train
000050,val
000051,val
000052,train
000053,train
000054,train
000055,train
000056,val
000057,train
000058,val
000059,train
000060,train
000061,train
000062,val
000063,train
000064,train
000065,train
000066,val
000067,train
000068,train
000069,train
000070,train
000071,val
000072,val
000073,val
000074,train
000075,val
000076,train
000077,train
000078,train
000079,train
000080,train
000081,train
000082,train
000083,train
000084,train
000085,train
000086,train
000087,train
000088,train
000089,train
000090,train
000091,val
000092,val
000093,train
000094,train
000095,train
000096,train
000097,train
000098,val
000099,val
000100,val
000101,train
000102,train
000103,train
000104,train
000105,val
000106,train
000107,train
000108,train
000109,train
000110,train
000111,train
000112,train
000113,train
000114,train
000115,train
000116,train
000117,train
000118,val
000119,train
000120,val
000121,train
000122,val
000123,train
000124,train
000125,train
000126,train
000127,train
000128,train
000129,train
000130,train
000131,train
000132,train
000133,train
000134,train
000135,train
000136,val
000137,train
000138,train
000139,train
000140,train
000141,train
000142,train
000143,train
000144,val
000145,train
000146,train
000147,train
000148,train
000149,val
000150,train
000151,train
000152,train
000153,val
000154,train
000155,train
000156,val
000157,train
000158,train
000159,train
000160,train
000161,val
000162,train
000163,train
000164,train
000165,train
000166,train
000167,train
000168,train
000169,train
000170,train
000171,train
000172,train
000173,train
000174,train
000175,train
000176,train
000177,train
000178,train
000179,train
000180,train
000181,train
000182,train
000183,val
000184,val
000185,train
000186,train
000187,train
000188,train
000189,val
000190,train
000191,train
000192,train
000193,train
000194,val
000195,train
000196,train
000197,train
000198,train
000199,train
000200,train
000201,val
000202,train
000203,train
000204,train
000205,train
000206,train
000207,train
000208,train
000209,train
000210,val
000211,train
000212,train
000213,train
000214,train
000215,train
000216,val
000217,train
000218,val
000219,train
000220,train
000221,train
000222,train
000223,val
000224,train
000225,val
000226,train
000227,val
000228,train
000229,val
000230,train
000231,train
000232,train
000233,train
000234,train
000235,train
000236,train
000237,val
000238,train
000239,train
000240,train
000241,train
000242,train
000243,train
000244,train
000245,train
000246,train
000247,train
000248,train
000249,train
000250,train
000251,train
000252,val
000253,val
000254,train
000255,train
000256,train
000257,train
000258,train
000259,train
000260,train
000261,train
000262,val
000263,train
000264,train
000265,train
000266,val
000267,train
000268,val
000269,train
000270,train
000271,train
000272,train
000273,val
000274,train
000275,val
000276,val
000277,train
000278,train
000279,train
000280,train
000281,train
000282,train
000283,train
000284,train
000285,train
000286,train
000287,train
000288,val
000289,train
000290,val
000291,train
000292,train
000293,train
000294,train
000295,val
000296,train
000297,train
000298,train
000299,train
000300,train
000301,train
000302,val
000303,train
000304,train
000305,train
000306,train
000307,val
000308,train
000309,train
000310,train
000311,train
000312,train
000313,train
000314,train
000315,val
000316,train
000317,train
000318,train
000319,train
000320,val
000321,train
000322,train
000323,train
000324,train
000325,train
000326,train
000327,train
000328,train
000329,train
000330,train
000331,train
000332,val
000333,val
000334,val
000335,val
000336,train
000337,train
000338,train
000339,val
000340,train
000341,train
000342,train
000343,train
000344,train
000345,train
000346,val
000347,train
000348,train
000349,train
000350,train
000351,train
000352,train
000353,train
000354,train
000355,train
000356,train
000357,train
000358,train
000359,train
000360,train
000361,train
000362,train
000363,train
000364,val
000365,val
000366,train
000367,val
000368,train
000369,train
000370,train
000371,train
000372,train
000373,train
000374,train
000375,val
000376,train
000377,train
000378,train
000379,train
000380,train
000381,train
000382,val
